the 151983633
of 71874676
and 62210193
in 62004799
to 43364193
was 26559707
is 20923272
for 17970059
on 17582287
as 17397452
with 15346117
by 15110188
he 13552032
that 12121723
at 11831429
from 11292478
his 10623194
it 10016896
an 8309829
were 7049059
which 6412646
are 6411797
this 5520977
also 5450043
be 5253119
had 5096354
or 5044244
first 4840311
their 4339413
after 4204053
its 4195131
one 4151416
new 4039430
but 3962758
who 3919923
her 3866897
not 3829399
she 3813632
they 3730302
have 3522359
two 3415323
been 3253551
other 3004434
when 2870867
during 2792951
into 2567822
there 2553647
time 2513534
may 2366872
more 2306475
school 2294105
over 2179861
only 2112083
would 2102544
later 2051542
most 2046995
where 2042679
between 2035097
some 1947366
up 1946964
world 1918571
city 1903162
national 1896237
about 1862871
such 1853168
him 1851916
then 1845490
made 1840000
out 1830283
state 1829694
three 1818763
while 1809191
used 1802567
university 1786601
can 1769917
united 1763848
under 1749319
known 1736899
season 1725188
many 1720074
year 1709567
part 1686043
born 1660281
film 1659127
these 1648336
than 1644138
team 1637528
no 1624480
second 1622272
being 1571014
through 1555881
before 1543905
both 1542745
south 1504540
early 1498143
war 1495502
history 1456008
against 1445290
however 1439843
family 1439359
until 1411078
well 1406769
since 1393061
them 1373966
work 1368317
life 1355687
following 1355683
area 1354203
people 1353739
series 1346423
north 1328862
name 1327863
career 1307305
album 1291004
music 1285930
group 1280263
district 1270690
number 1264123
several 1257769
high 1256255
county 1235657
de 1233600
company 1201447
will 1175080
league 1172583
won 1157449
four 1137488
house 1136279
government 1128343
each 1110158
march 1093798
same 1083359
game 1081502
international 1079554
club 1055502
found 1053066
so 1033149
west 1031876
use 1029104
august 1017644
now 1017350
college 1011907
station 1009305
population 1001296
public 995710
home 990036
end 984602
member 977855
place 975489
general 975004
town 974142
former 969319
church 960058
if 956416
age 946688
system 937147
because 936376
york 930695
took 926772
day 918757
river 917879
around 916691
football 909790
line 907354
east 904121
local 903455
any 902313
song 889103
due 881083
along 876966
service 875907
party 875473
best 873960
did 871968
back 871176
another 867621
based 864836
could 863489
within 861974
received 861871
century 858230
village 856782
built 853049
like 840788
building 834565
major 833377
final 829801
show 825420
although 810379
include 809414
species 808881
death 808392
band 798347
small 793974
main 790795
left 789768
president 788031
said 773875
large 767345
last 763329
five 761374
order 760885
st 760773
single 760122
set 759400
third 759173
own 758354
those 757264
education 754944
according 750166
included 744210
long 739196
very 737468
park 735400
still 731854
road 725514
army 720071
division 718264
book 717491
development 716728
among 706155
law 700770
often 697514
times 683182
what 678958
community 678354
central 677020
led 675373
original 670680
old 669189
son 666951
million 664235
different 663831
just 661699
top 660597
late 659686
again 659103
water 658084
air 657883
great 654776
center 653137
form 652644
much 652073
research 649326
side 649100
us 647523
art 646017
court 643683
play 642564
down 641374
country 638128
off 636726
even 634076
council 631940
german 626448
street 625041
record 624286
power 623806
established 622004
land 614818
cup 613175
title 607907
support 607229
political 606786
award 605415
military 603436
period 602059
came 601998
went 599551
production 599042
white 597084
way 596774
given 592782
island 591069
make 589898
next 589538
role 589049
television 587594
king 587549
region 586141
works 584313
total 582959
championship 582572
various 580701
head 580494
office 577850
six 577381
do 576017
player 574791
become 572442
father 569807
list 569359
business 568900
western 565669
produced 557630
director 555882
married 555520
program 554602
association 553871
field 550486
worked 550405
election 548583
black 547728
department 543493
point 540451
returned 535797
professional 533627
union 533581
written 532778
few 530307
you 529507
young 528547
without 527983
take 527788
site 523890
royal 522446
radio 519563
together 518461
social 516783
force 514327
northern 513266
per 511993
act 510473
though 510166
society 509650
wrote 507437
further 507355
days 507028
lost 504507
continued 501203
design 500480
every 498350
version 497458
project 496466
summer 495211
live 494955
men 494914
man 494297
we 492083
southern 489054
position 487374
board 485960
round 483408
railway 482401
open 481996
level 481886
considered 480090
control 476848
run 475211
important 471242
san 471124
once 467266
video 466293
special 461614
win 461514
popular 461389
match 459368
release 458817
common 458776
battle 458105
hall 456395
event 455955
working 455416
formed 453029
right 452766
see 449949
average 449091
short 448608
similar 448175
currently 445211
making 445102
example 444470
construction 443764
story 442459
living 442388
red 439298
originally 438954
debut 438374
race 438327
language 438278
lead 437099
la 436782
modern 435849
case 435106
addition 434784
police 434120
wife 433849
result 433579
minister 433425
route 426481
little 424779
lake 423601
canada 423560
himself 423514
current 423351
upon 422499
how 421752
rock 421192
present 421088
never 420917
free 420437
science 418998
information 418688
health 418248
training 416837
class 416341
throughout 416314
track 415404
good 411725
media 410776
museum 409299
across 407374
human 406019
census 406018
style 402477
personal 402414
love 401690
available 399478
province 399444
tour 399126
away 398564
eventually 396667
body 396589
despite 394937
eastern 394808
sold 393857
committee 390364
performance 390053
festival 385539
coach 384927
should 384864
return 383226
taken 383095
sea 382245
seven 381650
designed 379381
official 377972
less 377635
gave 377440
finished 375856
daughter 375261
process 374960
refer 374084
study 373864
institute 373561
stage 373412
term 372950
range 371369
chief 371345
fire 370317
does 370119
half 369257
mother 365493
character 364129
civil 363637
private 363595
light 363410
leading 361907
network 361428
help 360398
usually 360307
seen 359447
featured 357505
federal 357470
